condition,generator,discriminator,pipeline,n,prr_before,prr_after,delta_pp
C1,gemini,—,baseline,75,0.2464,0.2464,0.00
C2,gemini,mistral,adversarial,75,0.2420,0.2422,0.02
C3,mistral,—,baseline,75,0.2220,0.2220,0.00
C4,mistral,gemini,adversarial,75,0.2220,0.0936,-12.84
C5,gemini,gemini,adversarial,75,0.2598,0.2244,-3.53
C6,mistral,mistral,adversarial,75,0.2220,0.0936,-12.84
C7,llama3,—,baseline,75,0.2056,0.2056,0.00
C8,llama3,llama3,adversarial,75,0.2056,0.1411,-6.44
C9,llama3,gemini,adversarial,75,0.2056,0.1411,-6.44
C10,gemini,llama3,adversarial,75,0.2491,0.2473,-0.18
C11,mistral,llama3,adversarial,75,0.2220,0.0936,-12.84
C12,llama3,mistral,adversarial,75,0.2056,0.1411,-6.44
